emp_no,title,from_date,to_date
10001,Manager,15-07-2001,28-02-2005
10001,Senior Manager,28-02-2005,01-01-9999
10002,Analyst,28-02-2005,01-01-2007
10002,Senior Analyst,01-01-2007,01-01-9999
10003,Coordinator,10-11-2003,01-01-2006
10003,Manager,01-01-2006,31-12-2010
10004,Engineer,15-09-2007,01-01-9999
10005,Sales Associate,20-04-2002,01-01-9999
10006,Analyst,18-03-2004,01-01-9999
10007,Manager,22-08-2006,01-01-9999
10008,Coordinator,30-11-2008,01-01-9999
10009,Engineer,14-05-2010,01-01-9999
10010,Sales Associate,26-03-2009,01-01-9999
