emp_no,salary,from_date,to_date
10001,60000,15-07-2001,01-01-2003
10001,65000,01-01-2003,28-02-2005
10001,70000,28-02-2005,01-01-9999
10002,55000,28-02-2005,01-01-2007
10002,60000,01-01-2007,01-01-9999
10003,62000,10-11-2003,01-01-2006
10003,65000,01-01-2006,31-12-2010
10004,70000,15-09-2007,01-01-9999
10005,58000,20-04-2002,01-01-2004
10005,62000,01-01-2004,01-01-9999
10006,63000,18-03-2004,01-01-9999
10007,60000,22-08-2006,01-01-9999
10008,64000,30-11-2008,01-01-9999
10009,67000,14-05-2010,01-01-9999
10010,59000,26-03-2009,01-01-9999
